factory_name,address,source,extraction_date,page_number,worker_count,latitude,longitude,geocoding_method,geocoding_confidence,identified_brands,brand_confidence,num_brands,primary_brand,max_confidence,brand_tier
"4s Park Style Ltd. Durgapur, Ashulia, Savar. Dhaka Saver Dhaka 1341 9016954 1 6 No No 110 1200 3",,Accord 2013,2025-09-22T21:15:07.433033,1,,23.8103,90.4125,default,very_low,['Gap'],[1.0],1,Gap,1.0,other_brands
"ABA Fashions Ltd. Sena Kalyan Commercial Complex 2nd Floor,","Plot  9, Block  F, Tongi, GazipurGazipur Dhaka 1710 2 9801393 1 9 Yes Yes Ground  Market Giant Group1033 1",Accord 2013,2025-09-22T21:15:07.433785,1,,24.016027451623618,90.37869918768388,area_match,medium,['PVH'],[1.0],1,PVH,1.0,other_brands
"Adhunik Poshak Shilpa Limited CIVIL ENGINEERS TOWER AVENUE 1,,","INDUSTRIAL PLOT1, BLOCK E, SECTION 11, MIRPUR, DHAKADhaka Dhaka 1216 2 8010120 119 Yes Yes 114, 12 ,11,10, 8 1430 1 Chitta gongChittagong Chittagong 4210 31 2581258 1 17 Yes Yes 11 550 1",Accord 2013,2025-09-22T21:15:07.434688,1,212.0,23.8223,90.3654,exact_location,high,['PVH'],[1.0],1,PVH,1.0,other_brands
"Ags Apparels Ltd Plot No. A12 BlockB, BSCIC IA Fouzderhat,",Sagarika Road2 1712084266 No No 1,Accord 2013,2025-09-22T21:15:07.502719,2,,23.8103,90.4125,default,very_low,['PVH'],[1.0],1,PVH,1.0,other_brands
"Ahsan Composite Ltd. Ward  7, Holding  99, Block  D, Chandra,",KaliakoirGazipur Dhaka 2 9348808 No No 1,Accord 2013,2025-09-22T21:15:07.502808,2,,24.01254610479248,90.3852259603692,area_match,medium,['PVH'],[1.0],1,PVH,1.0,other_brands
"Alif Garments Ltd. 2122, Babar Road, BlockB, Mohammadpur Dhaka D haka 2 1817123442 No No 2",,Accord 2013,2025-09-22T21:15:07.503737,2,,23.7571,90.3584,exact_location,high,['PVH'],[1.0],1,PVH,1.0,other_brands
"ALL WEATHER FASHIONS LTD 52, shahid tajuddin ahmed sharoni, mohakhali","dhakaDHAKA Dhaka 1213 2 8812176 2 1924 Yes Yes 1 7,8,9 24 880 1",Accord 2013,2025-09-22T21:15:07.503823,2,,23.8103,90.4125,district,low,['H&M'],[1.0],1,H&M,1.0,premium_fast_fashion
"Alpha Knitting Wear Limited 888 Shewrapara, 1st  2nd floor Begum Rokeya","Shoroni , Mirpur,Dhaka Dhaka 1216 2 7452133 202 1 18 No No  667 2",Accord 2013,2025-09-22T21:15:07.504050,2,,23.8223,90.3654,exact_location,high,['Uniqlo'],[1.0],1,Uniqlo,1.0,premium_fast_fashion
"Amity design ltd. H 7  9, R9, Block D, Mirpur11, Dhaka Dhaka Dhaka 1216 1711520155 16 No No 11,2,3,4,5,6 550 3",,Accord 2013,2025-09-22T21:15:07.504830,2,,23.8223,90.3654,exact_location,high,['PVH'],[1.0],1,PVH,1.0,other_brands
"Anam Garments Ltd Plot 66, Road 04, BlockC, Section12,","Pollobi , Mirpur, DhakaDhaka Dhaka 2 9003329 1 16 No No 322 1",Accord 2013,2025-09-22T21:15:07.570360,3,,23.8223,90.3654,exact_location,high,['PVH'],[1.0],1,PVH,1.0,other_brands
"Anan Socks Ltd. Mulaid, Mawna, Sreepur, Gazipur Dhaka 2 9801937 1 11 No No Single shed 100 1",,Accord 2013,2025-09-22T21:15:07.570462,3,,23.8103,90.4125,default,very_low,['PVH'],[1.0],1,PVH,1.0,other_brands
"Ananta Casual Wear Ltd. Konia, Targasa, KB Bazar Gazipur Gazipur Dhaka 1714023738 2 16 21 No No 3219 4","Ananta Denim Nayabari khancpur Sunargaon, Naryanagong Narayanganj Dhaka 1714023738 3 13 21 36 No No 1378 1",Accord 2013,2025-09-22T21:15:07.570531,3,,23.613973975867104,90.52852837887774,area_match,medium,['C&A'],[1.0],1,C&A,1.0,value_fast_fashion
"Anupom Fashion Wear Ltd. Tamanna Complex 3rd floor, C.B288,","Kachukhet , Puran Bazar ,Dhaka Cantt. DhakaDhaka Dhaka 1206 155198715830 1 16 Yes Yes 12,4 650 2",Accord 2013,2025-09-22T21:15:07.571168,3,,23.8103,90.4125,district,low,['C&A'],[1.0],1,C&A,1.0,value_fast_fashion
"APS Apparels Ltd. Holding No.106, Ward 5, Baitur Rahmat,","Mosque Road, EFaidabad, Atipara, Dokhin Khan, DhakaDhaka Dhaka 1230 1811456031 1 7 No No NA 1400 4",Accord 2013,2025-09-22T21:15:07.572118,3,,23.8103,90.4125,district,low,['H&M'],[1.0],1,H&M,1.0,premium_fast_fashion
"APS Design Works Ltd. Holding No.106, Ward 5, Baitur Rahmat,","Mosque Road, EFaidabad, Atipara, Dokhin Khan, DhakaDhaka Dhaka 1230 1811456031 1 7 No No NA 1400 1",Accord 2013,2025-09-22T21:15:07.572203,3,,23.8103,90.4125,district,low,['H&M'],[1.0],1,H&M,1.0,premium_fast_fashion
