factory_name,address,source,extraction_date,page_number,worker_count,latitude,longitude,geocoding_method,geocoding_confidence,identified_brands,brand_confidence,num_brands,primary_brand,max_confidence,brand_tier
"4 Knitwear Ltd Pathantuli,Godnail Narayanganj Dhaka 1400 2 7641780 No No 450 1",,Accord 2013,2025-09-22T21:15:07.432896,1,,23.8103,90.4125,default,very_low,[],[],0,,0.0,unidentified
4 You Clothing Ltd 3671 Senpara parbota Mirpur Dhaka Dhaka Dhaka 1216 2 8020125 110 No No 2000 1,,Accord 2013,2025-09-22T21:15:07.432955,1,,23.8223,90.3654,exact_location,high,[],[],0,,0.0,unidentified
"4A YARN DYEING LTD. Kaichabari, Savar Dhaka Dhaka 2 79111568 3 15 21 31 No No 1250 2",,Accord 2013,2025-09-22T21:15:07.432993,1,,23.8103,90.4125,default,very_low,[],[],0,,0.0,unidentified
"4s Park Style Ltd. Durgapur, Ashulia, Savar. Dhaka Saver Dhaka 1341 9016954 1 6 No No 110 1200 3",,Accord 2013,2025-09-22T21:15:07.433033,1,,23.8103,90.4125,default,very_low,['Gap'],[1.0],1,Gap,1.0,other_brands
"A Class Composite Ltd. East Isdair, Beside LGED Office, Fatullah,",Nara yanganjNarayanganj Dhaka 2 7642798 No No 1,Accord 2013,2025-09-22T21:15:07.433061,1,,23.61325368965383,90.53684768864396,area_match,medium,[],[],0,,0.0,unidentified
"A J Super Garments Ltd. Goshbag, Post Zirabo, Thana  Savar Dhaka Dhaka 1341 2 7702200 1 16 No No 2700 1","A Plus Ind.Ltd. Plot 28, Milk Vita Rd., Section07, Mirpur, Dhaka Dhaka Dhaka 1216 2 9338091 1 16 No Yes 10,3,4,5 2200 4",Accord 2013,2025-09-22T21:15:07.433199,1,,23.8223,90.3654,exact_location,high,[],[],0,,0.0,unidentified
"AA Trousers Ltd Haribari Tak, Pubail Collage Gate, Pubail,","Gazipur, Sadar , GazipurGazipur Dhaka 2 224255 1 15 Yes Yes 15 25 1200 1",Accord 2013,2025-09-22T21:15:07.433296,1,,24.014062126196983,90.3860881686224,area_match,medium,[],[],0,,0.0,unidentified
"AB Outerwear Ltd Plot 2932, Sector  4, CEPZ, Chittagong.","Bangladesh., Sector 4 South Halishahar, CEPZ,Chittagong Chittagong 2 8952704 4 13 22 31 41 No No  845 5",Accord 2013,2025-09-22T21:15:07.433371,1,,22.245887843797036,91.80196072541078,area_match,medium,[],[],0,,0.0,unidentified
"A.K.M. KNIT WEAR LTD. 14 No. Genda, Karnopara, Ulail, Savar Dhaka Dhaka 1340 2 7712373 6 16 26,34, 42, 51,",,Accord 2013,2025-09-22T21:15:07.433460,1,10500.0,23.8103,90.4125,default,very_low,[],[],0,,0.0,unidentified
"A.M Design Ltd. Diakhali, Beron, Jamgara, Ashulia Dhaka Dhaka 2 7790228 3 14 22 31 No No 1650 2",,Accord 2013,2025-09-22T21:15:07.433646,1,,23.8103,90.4125,default,very_low,[],[],0,,0.0,unidentified
A.M.C.S. Textiles Limited 41  52 AEPZ Narayangonj Bangladesh Narayanganj Dhaka 1217 2 7691251 1 14 No No NA 2500 6,,Accord 2013,2025-09-22T21:15:07.433699,1,,23.8103,90.4125,default,very_low,[],[],0,,0.0,unidentified
"A.T.S. Apparels Limited 414, Kochakuri, Talirchala,, Mouchak Gazipur Dhaka 1713042568 6 172131415161 No No 172131415",1612250 6,Accord 2013,2025-09-22T21:15:07.433740,1,,23.8103,90.4125,default,very_low,[],[],0,,0.0,unidentified
"ABA Fashions Ltd. Sena Kalyan Commercial Complex 2nd Floor,","Plot  9, Block  F, Tongi, GazipurGazipur Dhaka 1710 2 9801393 1 9 Yes Yes Ground  Market Giant Group1033 1",Accord 2013,2025-09-22T21:15:07.433785,1,,24.016027451623618,90.37869918768388,area_match,medium,['PVH'],[1.0],1,PVH,1.0,other_brands
"ABABIL KNIT COMPOSITE LTD A6 BASIC , SHASONGAON,FATULLAH,","NARAYANGONJNARAYANGONJ Dhaka 1420 7672565 111 1 1,2.5 No Yes 1,0,2,3 850 1",Accord 2013,2025-09-22T21:15:07.433959,1,,23.8103,90.4125,district,low,[],[],0,,0.0,unidentified
"ABANTI COLOUR TEX LTD Shashongaon, Plot No S, A646, Enayetnagar,",FatullahNarayanganj Dhaka 1400 2 7672526 6 110 210 36 42 51 61No No 6000 5,Accord 2013,2025-09-22T21:15:07.434058,1,,23.61358554943847,90.53774154157271,area_match,medium,[],[],0,,0.0,unidentified
"ABC Garment Ltd. 26 Mirpur Road, Dhaka Dhaka Dhaka 1205 1711782525 No No 550 2",,Accord 2013,2025-09-22T21:15:07.434172,1,,23.8223,90.3654,exact_location,high,[],[],0,,0.0,unidentified
"Abir Fashions Ltd Plot  44, Road  02, Kutubail, Fatullah,","Nara yangonjNarayanganj Dhaka 2 7672782 3 17 21 31 No No 10,1,2,3,4,5,6 20 301030 1",Accord 2013,2025-09-22T21:15:07.434196,1,,23.62114117054048,90.53750644230358,area_match,medium,[],[],0,,0.0,unidentified
"ABLOOM DESIGN LIMITED 37, South Shastapur, Upazila Road, Fatullah,",Nara yanganjNarayanganj Dhaka 1420 2 7630177 1 18 No No NA 550 2,Accord 2013,2025-09-22T21:15:07.434284,1,,23.617472351879034,90.53056523234733,area_match,medium,[],[],0,,0.0,unidentified
"ABM FASHION LTD 3806 1 EAST RAMPURA, TV AVENUE, DHAKA DHAKA Dhaka 1219 2 9333144 16, No No Not Shared 1000 1",,Accord 2013,2025-09-22T21:15:07.434355,1,,23.8103,90.4125,default,very_low,[],[],0,,0.0,unidentified
"ABONI FASHIONS LTD 23 24, UNION TATULJHORA, HEMAYETPUR Dhaka Dhaka 1340 2 7743280 2 1723 No No  2038 1","Aboni Knitwear 169 171, Tatulzhora Hemayetpur Dhaka Dhaka No No 5 Accede International House  416, Road  30, Mohakhali D.O.H.S, Dhaka , 1206.Dhaka Dhaka 1206 No No 1",Accord 2013,2025-09-22T21:15:07.434393,1,,23.8103,90.4125,district,low,[],[],0,,0.0,unidentified
"ACS Textiles Bangladesh Ltd. Tetlabo, Parabo, Rupganj, Narayanganj Narayanganj Dhaka 1460 2 7449593 10 12, 23, 31, 43, 52, 63,","72, 82, 93, 101No No No 3566 6",Accord 2013,2025-09-22T21:15:07.434540,1,,23.8103,90.4125,default,very_low,[],[],0,,0.0,unidentified
"Active Composite Mills Limited Dewan Idris Road, Zirabo, Ashulia, Savar, Dhaka Dhaka 1341 2 82251877 1 16 No No  1008 3",,Accord 2013,2025-09-22T21:15:07.434606,1,,23.8103,90.4125,default,very_low,[],[],0,,0.0,unidentified
"ACTOR SPORTING LTD. PLOT NO3335 DEPZ. GANAKBARI, SAVAR Dhaka Dhaka 1349 2 7789086 14, No No 1085 2",,Accord 2013,2025-09-22T21:15:07.434641,1,,23.8103,90.4125,default,very_low,[],[],0,,0.0,unidentified
"Adhunik Poshak Shilpa Limited CIVIL ENGINEERS TOWER AVENUE 1,,","INDUSTRIAL PLOT1, BLOCK E, SECTION 11, MIRPUR, DHAKADhaka Dhaka 1216 2 8010120 119 Yes Yes 114, 12 ,11,10, 8 1430 1 Chitta gongChittagong Chittagong 4210 31 2581258 1 17 Yes Yes 11 550 1",Accord 2013,2025-09-22T21:15:07.434688,1,212.0,23.8223,90.3654,exact_location,high,['PVH'],[1.0],1,PVH,1.0,other_brands
"Adity Knitwear Ltd. Borabo, Mouchak, Kaliakoir, Gazipur, Dhaka Gazipur Dhaka 2 9004990 No No 1",,Accord 2013,2025-09-22T21:15:07.434894,1,,23.8103,90.4125,default,very_low,[],[],0,,0.0,unidentified
"Adorn Knitwear Ltd. 42, Chowransh Super Market 4th Floor, Savar","Bazar , SavarDhaka Dhaka 2 7742945 No No 1",Accord 2013,2025-09-22T21:15:07.434920,1,,23.86271034218283,90.26555963460021,area_match,medium,[],[],0,,0.0,unidentified
