Subgroup,Outcome,Coefficient,SE,p_value,Mean_DV,N,Category
Poorest,Child Labor,-0.031533168222336656,0.02490734842447757,0.2055063967287124,0.10592569849554805,6514,Wealth
Poorer,Child Labor,-0.010394255194723324,0.025613159854869238,0.6848770810483144,0.07254932421935684,6437,Wealth
Middle,Child Labor,0.00224097950226584,0.01889142406971423,0.9055731155859423,0.0537371763556424,6141,Wealth
Richer,Child Labor,0.011572373442901133,0.01698051191105132,0.49554940870092223,0.060376113493896405,6062,Wealth
Richest,Child Labor,0.01700107310557645,0.019399385180537125,0.3808279717592664,0.10228762931662538,6863,Wealth
Poorest,Enrollment,0.03285789309644964,0.03646712197844622,0.3675735037427371,0.8536243180046765,6415,Wealth
Poorer,Enrollment,0.033782485750523554,0.02062640744856768,0.1014578005066682,0.9001883239171374,6372,Wealth
Middle,Enrollment,0.05984381145854173,0.021362611875219546,0.005089181276886553,0.9280788177339901,6090,Wealth
Richer,Enrollment,0.04706359626652306,0.016565310994518485,0.004495913825628508,0.9336437718277066,6013,Wealth
Richest,Enrollment,0.029997639271049446,0.019149637162314204,0.11723487439607616,0.9077763021986129,6777,Wealth
Boys,Child Labor,0.008247189023829394,0.012084972519780109,0.4949649349137415,0.11124216276615556,16109,Gender
Girls,Child Labor,-0.019448846823025254,0.012064178109854546,0.10693683913122562,0.047963288911239625,15908,Gender
Urban,Child Labor,0.020359078314551436,0.013296101695702573,0.12571834676747573,0.10845661735305878,10004,Urban/Rural
Rural,Child Labor,0.005437409972514268,0.011910593368646881,0.6480169440583633,0.06677872166447099,22013,Urban/Rural
