outcome,label,coef_log_distance,se,t_stat,p_value,n_obs
infrastructure_index,Infrastructure index (0-6),-0.07565481009218131,0.0346820848707967,-2.1813801094721614,0.02915531357765663,1548
equipment_index,Equipment index (0-8),-0.02536230194820767,0.05795403101277883,-0.4376279182826005,0.6616560296545116,1548
service_index,Service breadth index (0-8),-0.12019883786813677,0.04571699819540013,-2.6291935737861007,0.008558762689635385,1548
child_health_index,Child health index (0-5),-0.0710802019118226,0.04503195641864914,-1.578439125562532,0.1144647626988038,1463
cleanliness_score,Cleanliness score (0-8),-0.15299005661311782,0.061560684490756544,-2.4851909604106104,0.012948195664069755,1548
n_providers,Number of providers,-0.5175934613112347,0.17788441773377522,-2.9097178263577517,0.003617552013452937,1548
n_staff_total,Total staff,-8.988233014298908,5.2044757365081535,-1.7270198708485855,0.08416409485296303,1548
outpatient_visits,Outpatient visits (last month),19.49701712117591,72.49802677687694,0.26893169356430585,0.7879822471841919,1479
n_beds,Number of beds,-2.433614502761271,1.3884630226894095,-1.7527398735095123,0.07964666805967004,1534
has_electricity,Connected to electricity,-0.036101148568571564,0.016531910903878958,-2.183725086499286,0.028982455227744827,1548
has_water_onsite,Water onsite,-0.007793228770467157,0.010695606990811578,-0.7286382883329757,0.46622295100144406,1430
has_computer,Functioning computer,-0.008473592665879914,0.014309043302778036,-0.5921844309629565,0.5537270938152674,1548
has_soap_opd,Soap in OPD,0.019693285895268274,0.014084163245426674,1.3982574294332297,0.1620357765875755,1548
has_privacy,Visual privacy,-0.011413329210096645,0.015217178520905913,-0.7500292642566162,0.4532370798209747,1548
offers_immunization,Immunization services,-0.04119914787254666,0.013485898205166965,-3.0549798942395756,0.002250756101846602,1548
offers_sick_child,Sick child services,-0.008468705856074484,0.010650595088709598,-0.7951392185636581,0.42653252347210535,1548
offers_antenatal,Antenatal care,0.017637019921387914,0.008813509033500167,2.0011348322614255,0.04537786150012962,1548
offers_delivery,Delivery services,-0.033429977647930674,0.01308661846172809,-2.5545161070980167,0.010633550977256582,1548
any_client_fees,Any client fees,-0.018652935161745154,0.01211756043304655,-1.5393308962483554,0.12372353490426415,1548
