outcome,label,threshold_km,coef,p_value
infrastructure_index,Infrastructure (0-6),5,0.31202104170842226,0.018863249512198844
infrastructure_index,Infrastructure (0-6),10,0.0853887221088819,0.6529599053608299
infrastructure_index,Infrastructure (0-6),15,0.17583520370760625,0.09200319968215506
infrastructure_index,Infrastructure (0-6),20,0.09421893056867703,0.32852738190364505
infrastructure_index,Infrastructure (0-6),25,0.1412311310425663,0.10883011868116636
infrastructure_index,Infrastructure (0-6),30,0.09657520741906817,0.23412556636775084
equipment_index,Equipment (0-8),5,0.2803109302019751,0.19062045857174148
equipment_index,Equipment (0-8),10,0.20708984946027753,0.27239374811186445
equipment_index,Equipment (0-8),15,0.15537737814672972,0.36400907716301334
equipment_index,Equipment (0-8),20,0.07153899007055647,0.6559525381432465
equipment_index,Equipment (0-8),25,0.10585293347581404,0.4699343468028634
equipment_index,Equipment (0-8),30,0.1375014104944369,0.3117721509677134
service_index,Services (0-8),5,0.26675631983116566,0.1549252104818196
service_index,Services (0-8),10,0.47039929124154956,0.008437067311142
service_index,Services (0-8),15,0.31695474174988314,0.019603995531190296
service_index,Services (0-8),20,0.34189162687955105,0.00359350665923194
service_index,Services (0-8),25,0.3479110937759519,0.000957641350122024
service_index,Services (0-8),30,0.3015749783374169,0.0013954939954890684
cleanliness_score,Cleanliness (0-8),5,0.5639522199852078,0.008540574560535962
cleanliness_score,Cleanliness (0-8),10,0.5309654351079446,0.023757282077670836
cleanliness_score,Cleanliness (0-8),15,0.3496054442386173,0.07473885184018253
cleanliness_score,Cleanliness (0-8),20,0.36664577025929157,0.039421877641247854
cleanliness_score,Cleanliness (0-8),25,0.304298351607681,0.0729107006885628
cleanliness_score,Cleanliness (0-8),30,0.4288368668830227,0.006648607996431996
child_health_index,Child health (0-5),5,0.24148459850899467,0.1982277779097702
child_health_index,Child health (0-5),10,0.227773184968477,0.16283523462509597
child_health_index,Child health (0-5),15,0.23685219718502162,0.09654281844934254
child_health_index,Child health (0-5),20,0.269508513062043,0.034210990050163016
child_health_index,Child health (0-5),25,0.2760556769936252,0.01658032865354521
child_health_index,Child health (0-5),30,0.17150046411902697,0.11353222255981658
