outcome,label,coef_near_factory,se,t_stat,p_value,r_squared,n_obs,controls
infrastructure_index,Infrastructure index (0-6),0.0853887221088819,0.1898987038091327,0.4496540544832057,0.6529599053608299,0.6005498946120582,1548,Region FE + Facility Type FE + Managing Authority FE
equipment_index,Equipment index (0-8),0.20708984946027753,0.18868088180187925,1.0975666823400172,0.27239374811186445,0.1920365864332717,1548,Region FE + Facility Type FE + Managing Authority FE
service_index,Service breadth index (0-8),0.47039929124154956,0.17858338844492408,2.6340596140420014,0.008437067311142,0.5752613540079026,1548,Region FE + Facility Type FE + Managing Authority FE
child_health_index,Child health index (0-5),0.227773184968477,0.16320816965028215,1.3955991630599311,0.16283523462509597,0.17141232470845247,1463,Region FE + Facility Type FE + Managing Authority FE
cleanliness_score,Cleanliness score (0-8),0.5309654351079446,0.23483323534152215,2.2610318949775237,0.023757282077670836,0.08297471811974355,1548,Region FE + Facility Type FE + Managing Authority FE
n_providers,Number of providers,1.871461607162279,0.6562099519902734,2.8519250607007227,0.0043455343954937765,0.6334985206416581,1548,Region FE + Facility Type FE + Managing Authority FE
n_staff_total,Total staff,24.920163636495136,16.105008355146754,1.5473549027083418,0.12177768946138391,0.22222792659865886,1548,Region FE + Facility Type FE + Managing Authority FE
outpatient_visits,Outpatient visits (last month),-48.624641853965755,258.0228979811594,-0.18845087871819918,0.8505232186458047,0.45564362190040975,1479,Region FE + Facility Type FE + Managing Authority FE
n_beds,Number of beds,7.702884832649488,4.363946464205474,1.7651190031388069,0.07754376753858415,0.6364493626763866,1534,Region FE + Facility Type FE + Managing Authority FE
has_electricity,Connected to electricity,0.18983205907338863,0.0576770275834542,3.2912940736884595,0.0009972760144030019,0.1918780247362567,1548,Region FE + Facility Type FE + Managing Authority FE
has_water_onsite,Water onsite,-0.025425632375695305,0.033617082097709694,-0.7563307339344462,0.44945092568413114,0.07933167161727961,1430,Region FE + Facility Type FE + Managing Authority FE
has_computer,Functioning computer,-0.07981673882302387,0.08377182188005583,-0.9527874293733897,0.3406977847196939,0.3195359458861652,1548,Region FE + Facility Type FE + Managing Authority FE
has_soap_opd,Soap in OPD,-0.06736830745494496,0.052689523952043224,-1.2785901712883574,0.20104141290804356,0.07337044683963523,1548,Region FE + Facility Type FE + Managing Authority FE
has_privacy,Visual privacy,0.04622954338744993,0.05312168551786406,0.8702574652286513,0.3841597180862668,0.16311954755982405,1548,Region FE + Facility Type FE + Managing Authority FE
offers_immunization,Immunization services,0.15880215986328883,0.046123089089790716,3.443007894682394,0.0005752825199719809,0.19827468251314428,1548,Region FE + Facility Type FE + Managing Authority FE
offers_sick_child,Sick child services,0.004247791667245662,0.03656789127254434,0.11616178891985934,0.9075243197135154,0.10263220338013568,1548,Region FE + Facility Type FE + Managing Authority FE
offers_antenatal,Antenatal care,-0.04931995435964283,0.030566673512603552,-1.6135205009896396,0.1066314729435404,0.08081169655154108,1548,Region FE + Facility Type FE + Managing Authority FE
offers_delivery,Delivery services,0.09606542112167436,0.04239612990427844,2.2659007163759974,0.023457462754927834,0.5358578466258831,1548,Region FE + Facility Type FE + Managing Authority FE
any_client_fees,Any client fees,0.08393119762842638,0.043699740419839365,1.9206337800194855,0.05477789336741019,0.12728136206191287,1548,Region FE + Facility Type FE + Managing Authority FE
